,Name,Ratings,Reviews,Industry,HQ,Number_of_employees
0,TCS,3.8,71.8k,IT Services & Consulting,Mumbai +335 more,1 Lakh+ Employees
1,Accenture,4.0,45.5k,IT Services & Consulting,Dublin +166 more,1 Lakh+ Employees
2,Cognizant,3.9,41k,IT Services & Consulting,Teaneck. New Jersey. +153 more,1 Lakh+ Employees
3,Wipro,3.8,36.3k,IT Services & Consulting,Bangalore/Bengaluru +268 more,1 Lakh+ Employees
4,HDFC Bank,3.9,33.3k,Banking,Mumbai +1513 more,1 Lakh+ Employees
5,ICICI Bank,4.0,33k,Banking,Mumbai +1264 more,1 Lakh+ Employees
6,Infosys,3.8,31.2k,IT Services & Consulting,Bengaluru/Bangalore +169 more,1 Lakh+ Employees
7,Capgemini,3.8,29.1k,IT Services & Consulting,Paris +122 more,1 Lakh+ Employees
8,HCLTech,3.6,27.9k,IT Services & Consulting,Noida +178 more,1 Lakh+ Employees
9,Tech Mahindra,3.7,27k,IT Services & Consulting,Pune +258 more,1 Lakh+ Employees
10,Genpact,3.9,25.7k,IT Services & Consulting,New York +104 more,1 Lakh+ Employees
11,Axis Bank,3.8,21.6k,Banking,Mumbai +1282 more,50k-1 Lakh Employees
12,Concentrix Corporation,3.9,21.4k,BPO,Fremont +108 more,50k-1 Lakh Employees
13,Teleperformance,3.5,20.4k,BPO,Paris +172 more,50k-1 Lakh Employees
14,Amazon,4.1,20.4k,Internet,Seattle +431 more,1 Lakh+ Employees
15,Reliance Jio,4.0,20.3k,Telecom,Navi Mumbai +1164 more,50k-1 Lakh Employees
16,IBM,4.1,19.4k,Software Product,Armonk +143 more,1 Lakh+ Employees
17,Larsen & Toubro Limited,4.0,18.4k,Engineering & Construction,Mumbai +627 more,10k-50k Employees
18,Reliance Retail,3.9,18.4k,Retail,Navi Mumbai +977 more,1 Lakh+ Employees
19,HDB Financial Services,4.0,17.8k,NBFC,Ahmedabad +936 more,1 Lakh+ Employees
20,Vodafone Idea,4.1,15.2k,Telecom,Mumbai +632 more,5k-10k Employees
21,BYJU'S,3.1,14.4k,EdTech,Bangalore +302 more,10k-50k Employees
22,Deloitte,3.9,14.2k,Management Consulting,London +153 more,1 Lakh+ Employees
23,Kotak Mahindra Bank,3.8,13.9k,Banking,Mumbai +558 more,50k-1 Lakh Employees
24,Reliance Industries,4.0,13.4k,Oil & Gas,Navi Mumbai +655 more,1 Lakh+ Employees
25,Bharti Airtel,4.0,12k,Telecom,Gurgaon/Gurugram +641 more,10k-50k Employees
26,iEnergizer,4.6,11.4k,BPO,Noida +25 more,10k-50k Employees
27,Tata Motors,4.2,11k,Automobile,Pune +452 more,10k-50k Employees
28,Flipkart,4.1,9.6k,Internet,Bangalore +526 more,10k-50k Employees
29,WNS,3.5,9.5k,BPO,Mumbai +33 more,10k-50k Employees
30,IndusInd Bank,3.7,9k,Banking,Gurgaon/Gurugram +672 more,10k-50k Employees
31,Ernst & Young,3.6,8.7k,Management Consulting,London +96 more,50k-1 Lakh Employees
32,AU Small Finance Bank,4.5,8.7k,Banking,Jaipur +399 more,10k-50k Employees
33,Mahindra & Mahindra,4.2,8.6k,Automobile,Mumbai +476 more,1 Lakh+ Employees
34,Infosys BPM,3.9,8.2k,BPO,Bangalore/Bengaluru +65 more,10k-50k Employees
35,DXC Technology,3.8,8.1k,IT Services & Consulting,Minato +80 more,10k-50k Employees
36,IDFC FIRST Bank,4.0,7.9k,Banking,Mumbai +567 more,10k-50k Employees
37,Conneqt Business Solutions,3.7,7.6k,BPO,Mumbai +216 more,10k-50k Employees
38,HDFC Life,4.1,7.5k,Insurance,Mumbai +543 more,10k-50k Employees
39,LTIMindtree,3.7,7.5k,IT Services & Consulting,Bangalore/Bengaluru +49 more,50k-1 Lakh Employees
40,Bajaj Finserv,4.0,7.3k,Financial Services,Pune +854 more,50k-1 Lakh Employees
41,Mphasis,3.5,6.8k,IT Services & Consulting,Bangalore/Bengaluru +47 more,10k-50k Employees
42,PwC,3.6,6.8k,Management Consulting,London +90 more,10k-50k Employees
43,HSBC Group,4.1,6.7k,Banking,Pune +57 more,10k-50k Employees
44,Samsung,4.1,6.7k,Consumer Electronics & Appliances,Seoul +501 more,50k-1 Lakh Employees
45,Hinduja Global Solutions,3.9,6.7k,IT Services & Consulting,Bangalore/Bengaluru +98 more,10k-50k Employees
46,Startek,3.2,6.7k,BPO,Mumbai +68 more,10k-50k Employees
47,Ericsson,4.3,6.5k,Telecom,Stockholm +146 more,10k-50k Employees
48,Maruti Suzuki,4.2,6.5k,Automobile,New Delhi +372 more,10k-50k Employees
49,Asian Paints,4.0,6.2k,Chemicals,Mumbai +418 more,5k-10k Employees
50,Yes Bank,3.9,6.2k,Banking,Mumbai +431 more,10k-50k Employees
51,Cipla Pharmaceutical,4.1,6.1k,Pharma,Mumbai +227 more,10k-50k Employees
52,Dr. Reddy's,4.1,5.9k,Pharma,Hyderabad/Secunderabad +155 more,10k-50k Employees
53,Sutherland Global Services,3.7,5.9k,IT Services & Consulting,Pittsford +53 more,10k-50k Employees
54,UltraTech Cement,4.2,5.8k,Building Material,Mumbai +424 more,10k-50k Employees
55,EXL Service,3.8,5.8k,Analytics & KPO,New York City +43 more,10k-50k Employees
56,Bandhan Bank,3.8,5.8k,Banking,Kolkata +737 more,50k-1 Lakh Employees
57,NTT DATA,4.0,5.7k,10k-50k Employees,Chiyoda City +53 more,36 years old
58,Paytm,3.4,5.7k,FinTech,Noida +305 more,10k-50k Employees
59,TATA Steel,4.1,5.7k,Iron & Steel,Mumbai +166 more,1 Lakh+ Employees
60,ICICI Prudential Life Insurance,4.1,5.6k,Insurance,Mumbai +445 more,10k-50k Employees
61,Jana Small Finance Bank,3.8,5.5k,Banking,Bangalore/Bengaluru +345 more,10k-50k Employees
62,Bajaj Finance,4.0,5.4k,NBFC,Pune +753 more,10k-50k Employees
63,Lupin,4.1,5.4k,Pharma,Mumbai +162 more,10k-50k Employees
64,Indian Army,4.7,5.3k,Defence & Aerospace,New Delhi +320 more,1 Lakh+ Employees
65,HCL Group,3.7,5.3k,IT Services & Consulting,Chennai +72 more,1 Lakh+ Employees
66,Udaan,4.0,5.2k,Internet,Bangalore +342 more,1k-5k Employees
67,L&T Infotech,3.8,5.2k,IT Services & Consulting,Mumbai +81 more,10k-50k Employees
68,ITC,3.9,5.1k,FMCG,Kolkata +302 more,10k-50k Employees
69,Zydus Lifesciences,4.1,5.1k,Pharma,Ahmedabad +146 more,10k-50k Employees
70,Quess,3.9,5.1k,BPO,Bangalore +504 more,1k-5k Employees
71,Wells Fargo,4.1,5k,Banking,San Francisco +20 more,10k-50k Employees
72,Delhivery,4.0,5k,Logistics,Delhi +609 more,10k-50k Employees
73,JP Morgan Chase,4.2,4.9k,Financial Services,New York +32 more,50k-1 Lakh Employees
74,Hindustan Unilever,4.2,4.9k,FMCG,London +416 more,10k-50k Employees
75,FIS,3.9,4.8k,FinTech,Jacksonville +45 more,10k-50k Employees
76,Amazon Development Centre India,4.2,4.8k,Internet,Hyderabad/Secunderabad +71 more,10k-50k Employees
77,IIFL Finance,3.9,4.7k,NBFC,Mumbai +650 more,10k-50k Employees
78,JSW Steel,3.9,4.6k,Iron & Steel,Mumbai +137 more,10k-50k Employees
79,Hexaware Technologies,3.7,4.6k,IT Services & Consulting,Mumbai +41 more,10k-50k Employees
80,Sun Pharmaceutical Industries,4.1,4.6k,Pharma,Mumbai +194 more,10k-50k Employees
81,Ujjivan Small Finance Bank,4.1,4.5k,Banking,Bangalore/Bengaluru +434 more,10k-50k Employees
82,Max Life Insurance,4.2,4.4k,Insurance,Gurgaon/Gurugram +385 more,10k-50k Employees
83,Muthoot Finance,3.5,4.4k,NBFC,Kochi/Cochin +618 more,10k-50k Employees
84,Aurobindo Pharma,4.0,4.3k,Pharma,Hyderabad/Secunderabad +89 more,10k-50k Employees
85,Home Credit Finance,4.1,4.3k,Financial Services,Gurugram +114 more,10k-50k Employees
86,Shapoorji Pallonji Group,4.2,4.3k,Engineering & Construction,Mumbai +157 more,5k-10k Employees
87,KPMG India,3.6,4.3k,Management Consulting,Bengaluru/Bangalore +76 more,10k-50k Employees
88,Oracle,3.9,4.3k,Software Product,Austin +45 more,50k-1 Lakh Employees
89,Tata Projects,4.2,4.3k,Engineering & Construction,Mumbai +233 more,5k-10k Employees
90,OPPO,3.9,4.2k,Consumer Electronics & Appliances,Dongguan +367 more,10k-50k Employees
91,eClerx,3.4,4.2k,IT Services & Consulting,Mumbai +17 more,10k-50k Employees
92,L&T Construction,4.0,4.2k,Engineering & Construction,Chennai +336 more,5k-10k Employees
93,Capgemini Technology Services India Limited,4.0,4.2k,IT Services & Consulting,Bengaluru/Bangalore +41 more,1 Lakh+ Employees
94,Shriram Transport Finance,4.1,4.2k,NBFC,Mumbai +770 more,10k-50k Employees
95,Ashok Leyland,4.1,4.2k,Automobile,Chennai +205 more,5k-10k Employees
96,Apollo Hospitals,4.1,4.2k,Healthcare,Chennai +178 more,10k-50k Employees
97,Siemens,4.2,4.1k,Power,Munich +126 more,5k-10k Employees
98,JLL,4.2,4.1k,Real Estate,Mumbai +68 more,10k-50k Employees
99,Vivo,4.1,4.1k,Consumer Electronics & Appliances,Gurgaon/Gurugram +372 more,5k-10k Employees
100,Omega Healthcare,3.8,4.1k,Healthcare,Florida +43 more,10k-50k Employees
101,First Source,3.8,4k,BPO,Mumbai +52 more,10k-50k Employees
102,Megha Engineering & Infrastructures,4.0,4k,Engineering & Construction,Hyderabad/Secunderabad +288 more,5k-10k Employees
103,JustDial,3.6,4k,Internet,Mumbai +176 more,10k-50k Employees
104,Mahindra & Mahindra Financial Services,4.3,4k,NBFC,Mumbai +633 more,10k-50k Employees
105,Hewlett-Packard Enterprise,4.3,3.9k,Software Product,Houston +97 more,10k-50k Employees
106,Hero MotoCorp,4.2,3.9k,Automobile,Gurgaon/Gurugram +309 more,5k-10k Employees
107,Bajaj Allianz Life Insurance,4.1,3.9k,Insurance,Pune +493 more,10k-50k Employees
108,Cyient,3.8,3.8k,IT Services & Consulting,Hyderabad/Secunderabad +34 more,10k-50k Employees
109,D Mart,3.9,3.8k,Retail,Mumbai +207 more,10k-50k Employees
110,ICICI Lombard General Insurance Company,3.8,3.8k,Insurance,Mumbai +257 more,10k-50k Employees
111,BigBasket,4.0,3.7k,Internet,Bangalore +112 more,10k-50k Employees
112,Coforge,3.5,3.7k,10k-50k Employees,Noida +85 more,Public
113,Indiamart Intermesh,3.6,3.7k,Internet,Noida +135 more,5k-10k Employees
114,Virtusa Consulting Services,3.8,3.7k,IT Services & Consulting,Southborough +36 more,10k-50k Employees
115,Hyundai Motor,4.3,3.7k,Automobile,Seoul +271 more,10k-50k Employees
116,Equitas Small Finance Bank,4.4,3.6k,Banking,Chennai +363 more,10k-50k Employees
117,TVS Motor,4.0,3.6k,Automobile,Chennai +271 more,5k-10k Employees
118,Manappuram Finance,3.9,3.5k,NBFC,Thrissur/Trichur +487 more,10k-50k Employees
119,GlobalLogic,3.7,3.5k,IT Services & Consulting,San Jose +32 more,10k-50k Employees
120,UST,3.8,3.5k,IT Services & Consulting,Aliso Viejo +36 more,10k-50k Employees
121,Nagarro,4.2,3.5k,IT Services & Consulting,Munich +39 more,10k-50k Employees
122,Atos Syntel,3.5,3.5k,IT Services & Consulting,Troy +22 more,5k-10k Employees
123,Reliance Communications,3.9,3.5k,Telecom,Navi Mumbai +423 more,201-500 Employees
124,SBI Cards & Payment Services,3.7,3.5k,1k-5k Employees,Gurgaon/Gurugram +330 more,26 years old
125,IQVIA,4.1,3.5k,Clinical Research,Durham +41 more,10k-50k Employees
126,Cummins,4.4,3.5k,Industrial Machinery,Columbus +103 more,1k-5k Employees
127,Bosch Global Software Technologies,4.1,3.5k,Software Product,Gerlingen +28 more,10k-50k Employees
128,Bosch,4.3,3.5k,Auto Components,Gerlingen +97 more,5k-10k Employees
129,SMFG India Credit,4.1,3.4k,NBFC,Mumbai +479 more,10k-50k Employees
130,Cholamandalam Investment & Finance,4.1,3.4k,NBFC,Chennai +626 more,10k-50k Employees
131,Ekart Logistics,4.1,3.4k,Logistics,San Francisco +555 more,1k-5k Employees
132,BNY Mellon,4.1,3.4k,Investment Banking / Venture Capital / Private Equity,New York City +14 more,10k-50k Employees
133,Schneider Electric,4.1,3.4k,Industrial Automation,Paris +108 more,10k-50k Employees
134,Oyo Rooms,3.4,3.4k,Hospitality,Gurgaon +117 more,1k-5k Employees
135,Amdocs,4.0,3.3k,Software Product,Chesterfield +15 more,10k-50k Employees
136,BT Group,4.1,3.3k,Telecom,London +18 more,10k-50k Employees
137,L&T Technology Services,3.4,3.3k,IT Services & Consulting,Vadodara/Baroda +46 more,10k-50k Employees
138,CBRE,4.2,3.3k,Real Estate,Los Angeles +68 more,10k-50k Employees
139,State Bank of India,3.7,3.3k,Banking,Mumbai +473 more,1 Lakh+ Employees
140,JBM Group,4.0,3.3k,Auto Components,Gurgaon/Gurugram +88 more,1k-5k Employees
141,Swiggy,3.9,3.2k,Internet,Bangalore +177 more,5k-10k Employees
142,Ecom Express,4.1,3.2k,Logistics,Gurgaon +609 more,50k-1 Lakh Employees
143,Dell,4.1,3.2k,Consumer Electronics & Appliances,Round Rock +98 more,10k-50k Employees
144,Future Group,4.3,3.2k,Retail,Mumbai +201 more,10k-50k Employees
145,SBI Life Insurance Company,3.8,3.2k,Insurance,Mumbai +516 more,10k-50k Employees
146,Bajaj Auto,3.8,3.2k,Automobile,Pune +244 more,5k-10k Employees
147,Optum,4.0,3.2k,Healthcare,Prairie +28 more,10k-50k Employees
148,Nagarjuna Construction Company,4.1,3.1k,Engineering & Construction,Hyderabad/Secunderabad +218 more,5k-10k Employees
149,KEC International,4.1,3.1k,Engineering & Construction,Mumbai +264 more,5k-10k Employees
150,Piramal Capital Housing Finance,4.2,3.1k,NBFC,Mumbai +321 more,1k-5k Employees
151,Muthoot Fincorp,4.0,3.1k,NBFC,Trivandrum/Thiruvananthapuram +529 more,10k-50k Employees
152,Aditya Birla Fashion and Retail,4.2,3k,Fashion & Textile,Mumbai +222 more,10k-50k Employees
153,Viatris,4.2,3k,Pharma,Canonsburg +70 more,10k-50k Employees
154,Royal Enfield,4.2,3k,Automobile,Gurgaon/Gurugram +299 more,5k-10k Employees
155,Kogta Financial India Limited,4.8,3k,NBFC,Jaipur +206 more,1k-5k Employees
156,L&T Finance,4.0,3k,NBFC,Mumbai +468 more,10k-50k Employees
157,Samvardhana Motherson Group,3.8,3k,Auto Components,Noida +75 more,1k-5k Employees
158,Tata Communications,4.1,2.9k,Telecom,Mumbai +89 more,5k-10k Employees
159,LG Electronics,4.0,2.9k,Consumer Electronics & Appliances,Seoul +245 more,10k-50k Employees
160,Intas Pharmaceuticals,4.1,2.9k,Pharma,Chennai +112 more,10k-50k Employees
161,John Deere,4.3,2.9k,Industrial Machinery,Chennai +117 more,5k-10k Employees
162,Godrej & Boyce Manufacturing,3.9,2.9k,Engineering & Construction,Chennai +129 more,10k-50k Employees
163,Varun Beverages,4.0,2.9k,Beverage,Chennai +275 more,5k-10k Employees
164,Randstad,3.9,2.8k,Recruitment,Chennai +257 more,5k-10k Employees
165,Thermax Limited,4.2,2.8k,Industrial Machinery,Chennai +175 more,1k-5k Employees
166,Hetero Drugs,3.8,2.8k,Pharma,Chennai +44 more,1k-5k Employees
167,Persistent Systems,3.8,2.8k,IT Services & Consulting,Chennai +31 more,10k-50k Employees
168,Havells,4.1,2.8k,Electrical Equipment,Chennai +175 more,5k-10k Employees
169,Deutsche Bank,4.1,2.8k,Banking,Chennai +37 more,10k-50k Employees
170,Macleods Pharmaceuticals,3.7,2.8k,Pharma,Chennai +96 more,10k-50k Employees
171,Whitehat jr,3.5,2.8k,EdTech,Chennai +50 more,5k-10k Employees
172,CARS24,3.6,2.8k,Internet,Chennai +148 more,5k-10k Employees
173,Sodexo,4.1,2.7k,Facility Management Services,Chennai +129 more,10k-50k Employees
174,Abbott Healthcare,4.1,2.7k,Pharma,Chennai +170 more,10k-50k Employees
175,Subros,3.9,2.7k,Auto Components,Chennai +56 more,1k-5k Employees
176,Ford Motor,4.4,2.7k,Automobile,Chennai +110 more,5k-10k Employees
177,Team Lease,3.9,2.7k,Recruitment,Chennai +299 more,1k-5k Employees
178,VE Commercial Vehicles,4.0,2.7k,Automobile,Chennai +125 more,10k-50k Employees
179,Indian Oil Corporation,4.4,2.7k,Oil & Gas,Chennai +251 more,10k-50k Employees
180,Automatic Data Processing (ADP),4.1,2.7k,Software Product,New Jersey +23 more,1k-5k Employees
181,American Express,4.3,2.7k,Financial Services,New York City +44 more,10k-50k Employees
182,Cgi Group,4.1,2.7k,IT Services & Consulting,Montreal +23 more,10k-50k Employees
183,Tata Capital,4.2,2.7k,NBFC,Mumbai +224 more,5k-10k Employees
184,Bharat Electronics,4.1,2.6k,Electronics Manufacturing,Bangalore/Bengaluru +45 more,5k-10k Employees
185,Standard Chartered Bank,3.9,2.6k,Banking,London +57 more,10k-50k Employees
186,UnitedHealth,4.1,2.6k,Healthcare,Minnetonka +15 more,10k-50k Employees
187,R1 RCM,3.9,2.6k,Healthcare,Murray +31 more,5k-10k Employees
188,Alembic Pharmaceuticals,4.0,2.6k,Pharma,Vadodara/Baroda +146 more,10k-50k Employees
189,Pidilite Industries,4.3,2.6k,Chemicals,Mumbai +228 more,5k-10k Employees
190,Access Healthcare,4.0,2.6k,IT Services & Consulting,Dallas +30 more,5k-10k Employees
191,Alkem Laboratories,3.9,2.6k,Pharma,Mumbai +156 more,10k-50k Employees
192,Hindalco Industries,4.2,2.6k,Metals & Mining,Mumbai +84 more,10k-50k Employees
193,Publicis Sapient,3.6,2.6k,IT Services & Consulting,New York +24 more,10k-50k Employees
194,Tata AIA Life Insurance,4.1,2.6k,Insurance,Mumbai +311 more,10k-50k Employees
195,Atos,3.8,2.6k,IT Services & Consulting,Vilnius +38 more,10k-50k Employees
196,ITC Infotech,3.6,2.6k,IT Services & Consulting,Bangalore/Bengaluru +51 more,10k-50k Employees
197,DCB Bank,3.9,2.5k,Banking,Mumbai +303 more,5k-10k Employees
198,Indian Air Force,4.7,2.5k,Defence & Aerospace,New Delhi +109 more,1 Lakh+ Employees
199,Aakash Educational Services,3.6,2.5k,EdTech,New Delhi +202 more,5k-10k Employees
200,Hindustan Coca Cola Beverages,4.3,2.5k,Beverage,Bangalore +210 more,5k-10k Employees
201,Vishal Mega Mart,3.7,2.5k,Retail,Gurgaon/Gurugram +313 more,10k-50k Employees
202,Glenmark Pharmaceuticals,4.0,2.5k,Pharma,Mumbai +140 more,10k-50k Employees
203,Utkarsh Small Finance Bank,3.8,2.5k,Banking,Varanasi +287 more,10k-50k Employees
204,Barclays,4.1,2.5k,Banking,London +31 more,10k-50k Employees
205,Ipca Laboratories,4.0,2.5k,Pharma,Mumbai +124 more,10k-50k Employees
206,Maersk,4.3,2.5k,Other,Copenhagen +36 more,10k-50k Employees
207,Wipro Infotech,4.1,2.5k,IT Services & Consulting,Bangalore +116 more,1 Lakh+ Employees (Global)
208,Wipro Enterprises Ltd,3.9,2.5k,IT Services & Consulting,Bangalore +172 more,501-1k Employees
209,ABB Group,4.1,2.5k,Industrial Automation,Zurich +94 more,1k-5k Employees
210,Aarti Industries,4.1,2.4k,Agro Chemicals,Mumbai +42 more,5k-10k Employees
211,Jindal Steel and Power,3.9,2.4k,Iron & Steel,Delhi/NCR +115 more,5k-10k Employees
212,DTDC Express,3.8,2.4k,Logistics,Bangalore/Bengaluru +224 more,1k-5k Employees
213,Bank of America,4.4,2.4k,Banking,Charlotte +30 more,10k-50k Employees
214,NatWest Group,4.1,2.4k,Banking,Gurgaon/Gurugram +22 more,10k-50k Employees
215,Honda Motorcycle & Scooter,4.2,2.4k,Automobile,Gurgaon/Gurugram +212 more,10k-50k Employees
216,Berger Paints,3.7,2.4k,Chemicals,Kolkata +233 more,1k-5k Employees
217,24/7 Customer,3.6,2.4k,BPO,San Jose +24 more,5k-10k Employees
218,CMS IT Services,3.1,2.4k,IT Services & Consulting,Bangalore +136 more,5k-10k Employees
219,MRF Tyres,3.7,2.4k,Auto Components,Chennai +161 more,10k-50k Employees
220,Wipro Consumer Care & Lighting,3.9,2.4k,FMCG,Bangalore/Bengaluru +93 more,1k-5k Employees
221,Johnson Controls,3.8,2.4k,Industrial Automation,Cork +48 more,5k-10k Employees
222,Reliance Nippon Life Insurance,3.9,2.4k,Insurance,Mumbai +429 more,10k-50k Employees
223,HDFC Ergo General Insurance,4.0,2.4k,Insurance,Mumbai +225 more,10k-50k Employees
224,Carelon Global Solutions,4.0,2.4k,IT Services & Consulting,Hyderabad/Secunderabad +10 more,10k-50k Employees
225,PolicyBazaar,3.4,2.4k,Internet,Gurgaon +81 more,10k-50k Employees
226,RBL Bank,3.7,2.4k,Banking,Mumbai +219 more,10k-50k Employees
227,Axis Direct,4.0,2.4k,Financial Services,San Mateo +271 more,1k-5k Employees
228,Paras Hospital,4.6,2.4k,Healthcare,Gurgaon/Gurugram +41 more,1k-5k Employees
229,PNB MetLife,3.4,2.4k,Insurance,Mumbai +319 more,5k-10k Employees
230,Cogent E Services,3.3,2.4k,BPO,Noida +34 more,10k-50k Employees
231,GeBBS Healthcare Solutions,3.7,2.4k,BPO,Culver City +18 more,5k-10k Employees
232,Ceat Tyres,4.0,2.3k,Auto Components,Mumbai +110 more,5k-10k Employees
233,Reliance Digital,4.2,2.3k,Retail,Mumbai +298 more,5k-10k Employees
234,Kotak Mahindara Life Insurance,3.8,2.3k,Insurance,Mumbai +205 more,10k-50k Employees
235,Marpu Foundation,4.9,2.3k,Non-Profit,Hyderabad/Secunderabad +53 more,51-200 Employees
236,Conduent,3.5,2.3k,BPO,Florham Park +20 more,5k-10k Employees
237,Jubilant Foods Works,3.8,2.3k,Food Processing,Noida +190 more,10k-50k Employees
238,Dabur,3.8,2.3k,FMCG,Ghaziabad +244 more,5k-10k Employees
239,JK Cement,4.1,2.3k,Building Material,Gurgaon/Gurugram +231 more,1k-5k Employees
240,Shoppers Stop,4.1,2.3k,Retail,Mumbai +62 more,5k-10k Employees
241,IndiGo,3.5,2.3k,Aviation,Gurgaon/Gurugram +88 more,10k-50k Employees
242,Indiabulls Home Loans,3.8,2.3k,NBFC,Gurgaon/Gurugram +185 more,5k-10k Employees
243,GATI-KWE,4.0,2.3k,Logistics,Hyderabad/Secunderabad +157 more,1k-5k Employees
244,ACC,3.9,2.3k,Building Material,Mumbai +208 more,5k-10k Employees
245,Reliance SMSL,3.9,2.3k,BPO,Mumbai +477 more,1k-5k Employees
246,ArcelorMittal Nippon Steel,4.0,2.2k,Iron & Steel,Surat +65 more,5k-10k Employees
247,S&P Global,4.2,2.2k,Analytics & KPO,New York City +25 more,10k-50k Employees
248,Synechron,3.9,2.2k,IT Services & Consulting,New York +26 more,5k-10k Employees
249,Birlasoft,3.7,2.2k,IT Services & Consulting,Pune +33 more,10k-50k Employees
250,Lenskart,3.2,2.2k,Internet,Faridabad +157 more,5k-10k Employees
251,Torrent Pharmaceuticals,3.9,2.2k,Pharma,Ahmedabad +98 more,10k-50k Employees
252,KPIT Technologies,3.6,2.2k,Software Product,Pune +28 more,5k-10k Employees
253,UPL,4.1,2.2k,Agro Chemicals,Mumbai +154 more,5k-10k Employees
254,Square Yards,3.9,2.2k,Internet,Gurgaon +41 more,1k-5k Employees
255,Titan Company,4.4,2.2k,Retail,Bangalore +137 more,5k-10k Employees
256,HARMAN,3.8,2.2k,Consumer Electronics & Appliances,Stamford +28 more,5k-10k Employees
257,RSPL Group,4.1,2.2k,FMCG,Mumbai +196 more,10k-50k Employees
258,Dilip Buildcon,4.0,2.2k,Engineering & Construction,Bhopal +180 more,10k-50k Employees
259,AGS Health,4.0,2.2k,BPO,Washington DC +36 more,10k-50k Employees
260,Statestreet HCL Services,3.2,2.2k,BPO,New Delhi +16 more,5k-10k Employees
261,Bajaj Electricals,4.0,2.1k,Consumer Electronics & Appliances,Mumbai +190 more,1k-5k Employees
262,Tata AIG,4.2,2.1k,Insurance,Mumbai +218 more,5k-10k Employees
263,TVS Credit,4.5,2.1k,NBFC,Chennai +299 more,10k-50k Employees
264,Tech Mahindra Business Services,3.5,2.1k,BPO,Mumbai +43 more,5k-10k Employees
265,Escorts Kubota Limited,4.1,2.1k,Automobile,Faridabad +124 more,1k-5k Employees
266,Simplex Infrastructures,3.3,2.1k,Engineering & Construction,Kolkata +131 more,1k-5k Employees
267,IGT Solutions,3.3,2.1k,BPO,Gurgaon/Gurugram +27 more,5k-10k Employees
268,Apollo Tyres,4.1,2.1k,Auto Components,Gurgaon/Gurugram +148 more,10k-50k Employees
269,AFCONS Infrastructure,4.3,2.1k,Engineering & Construction,Mumbai +94 more,5k-10k Employees
270,Alstom Transportation,3.9,2.1k,Engineering & Construction,Saint-Ouen +64 more,5k-10k Employees
271,EY Global Delivery Services ( EY GDS),3.7,2.1k,Accounting & Auditing,Bangalore/Bengaluru +38 more,50k-1 Lakh Employees
272,Birla Sun Life Insurance,4.2,2.1k,Insurance,Mumbai +364 more,10k-50k Employees
273,Domino's Pizza,4.0,2.1k,Hospitality,Ypsilanti +212 more,1k-5k Employees
274,Suzlon Group,4.1,2.1k,Power,Pune +106 more,5k-10k Employees
275,Mankind Pharma,4.1,2.1k,Pharma,New Delhi +189 more,10k-50k Employees
276,Capita,3.8,2.1k,IT Services & Consulting,Indore +22 more,5k-10k Employees
277,Flex,4.1,2.1k,Electronics Manufacturing,San Jose +38 more,5k-10k Employees
278,Huawei Technologies,4.0,2.1k,Telecom,Gurgaon/Gurugram +97 more,51-200 Employees
279,KocharTech,4.1,2.1k,IT Services & Consulting,Gurgaon/Gurugram +24 more,1k-5k Employees
280,IDFC FIRST Bharat,4.6,2.1k,NBFC,Tiruchirappalli +291 more,10k-50k Employees
281,Zensar Technologies,3.8,2.1k,IT Services & Consulting,Pune +22 more,5k-10k Employees
282,McDonald's,4.2,2k,Hospitality,Chicago +134 more,1k-5k Employees
283,Max Healthcare,4.1,2k,Healthcare,Delhi/NCR +57 more,1k-5k Employees
284,Taj Hotels Resorts and Palaces,4.2,2k,Hospitality,Mumbai +93 more,10k-50k Employees
285,Bajaj Allianz General Insurance,4.0,2k,Insurance,Pune +204 more,5k-10k Employees
286,Tata Technologies,3.7,2k,Engineering & Construction,Singapore +39 more,5k-10k Employees
287,ElasticRun,3.3,2k,Logistics,Pune +341 more,1k-5k Employees
288,State Street Corporation,3.8,2k,Financial Services,Boston +19 more,10k-50k Employees
289,Lava International,4.1,2k,Consumer Electronics & Appliances,Noida +208 more,1k-5k Employees
290,Nokia,4.2,2k,Telecom,Espoo +150 more,10k-50k Employees
291,HDFC Sales,4.0,2k,Financial Services,Mumbai +277 more,10k-50k Employees
292,I Process Services,3.8,2k,Recruitment,Mumbai +283 more,1k-5k Employees
293,Walmart,4.0,2k,Retail,Bangalore/Bengaluru +76 more,5k-10k Employees
294,Landmark Group,4.0,2k,Retail,Dubai Marina +137 more,1k-5k Employees
295,Nestle,4.1,2k,Food Processing,Vevey +224 more,5k-10k Employees
296,Blue Dart Express,4.1,2k,Logistics,Mumbai +233 more,10k-50k Employees
297,State Street Syntel,3.7,2k,Financial Services,Mumbai +19 more,501-1k Employees
298,Capgemini Engineering,3.6,2k,10k-50k Employees,Gurgaon/Gurugram +20 more,Gurgaon/Gurugram +20 more
299,Tractors and Farm Equipment,4.1,2k,Automobile,Chennai +161 more,10k-50k Employees
300,Croma,4.1,2k,Retail,Mumbai +134 more,5k-10k Employees
301,Patanjali Ayurved,4.0,2k,FMCG,Haridwar +254 more,1k-5k Employees
302,Grasim Industries,4.0,2k,Building Material,Nagda +98 more,10k-50k Employees
