,Name,Ratings,Reviews,Industry,HQ,Number_of_employees
5455,Foiwe Info Global Solution,3.8,132,IT Services & Consulting,Bangalore/Bengaluru +3 more,201-500 Employees
5456,First Abu Dhabi Bank,2.9,132,Banking,Abu Dhabi +6 more,201-500 Employees
5457,Vishay Precision Transducers,3.7,132,Semiconductors,Basingstoke +6 more,1k-5k Employees
5458,Mahavir Die Casters,3.7,132,Auto Components,Faridabad  +4 more,501-1k Employees
5459,Mahindra Defence Systems,3.7,132,Defence & Aerospace,Mumbai +13 more,201-500 Employees
5460,Cloudkaptan Consultancy Services,4.6,132,IT Services & Consulting,Kolkata,201-500 Employees
5461,GLA University,3.7,131,Education & Training,Mathura +7 more,1k-5k Employees
5462,Kopran,3.4,131,Pharma,Mumbai +14 more,501-1k Employees
5463,Sahajanand Medical Technologies,3.5,131,Medical Equipment,Surat +23 more,501-1k Employees
5464,Seco Tools,3.9,131,Metals & Mining,Fagersta +6 more,201-500 Employees
5465,DQ Entertainment,3.7,131,Animation & VFX,Hyderabad/Secunderabad +2 more,51-200 Employees
5466,APC By Schneider Electric,4.3,131,Electrical Equipment,West Kingston +14 more,10k-50k Employees
5467,Jasmin Infotech,4.2,131,Hardware & Networking,Chennai +2 more,501-1k Employees
5468,Net Access India,3.8,131,IT Services & Consulting,Chennai +23 more,201-500 Employees
5469,AARGEE STAFFING SERVICES,3.9,131,Recruitment,Chennai +16 more,1k-5k Employees (Global)
5470,Rossari Biotech,3.9,131,Chemicals,Mumbai +12 more,201-500 Employees
5471,SMC Power Generation,3.8,131,Iron & Steel,New Delhi +10 more,501-1k Employees
5472,Digient Technologies,4.6,131,IT Services & Consulting,Chennai +2 more,51-200 Employees
5473,Manpasand Beverages,3.4,131,Beverage,Vadodara/Baroda +29 more,1k-5k Employees
5474,Toyota Kirloskar Auto Parts,4.4,131,Auto Components,Bangalore +7 more,201-500 Employees
5475,Connect Broadband,4.2,131,Telecom,Ajitgarh +16 more,11-50 Employees
5476,GCMMF,3.9,131,78 years old,Anand +45 more,Anand +45 more
5477,NKC Projects,4.0,131,Engineering & Construction,Gurgaon +17 more,51-200 Employees
5478,Tecumseh Products,3.4,131,Industrial Machinery,Ann Arbor +6 more,201-500 Employees
5479,Pradan,3.6,131,Non-Profit,New Delhi +42 more,201-500 Employees
5480,Sahajanand Medical Technologies,3.5,131,Medical Equipment,Surat +23 more,501-1k Employees
5481,NKC Projects,4.0,131,Engineering & Construction,Gurgaon +17 more,51-200 Employees
5482,Pradan,3.6,131,Non-Profit,New Delhi +42 more,201-500 Employees
5483,Monginis Foods,3.8,131,Food Processing,Mumbai +23 more,501-1k Employees
5484,Toyota Kirloskar Auto Parts,4.4,131,Auto Components,Bangalore +7 more,201-500 Employees
5485,Connect Broadband,4.2,131,Telecom,Ajitgarh +16 more,11-50 Employees
5486,Digient Technologies,4.6,131,IT Services & Consulting,Chennai +2 more,51-200 Employees
5487,Manpasand Beverages,3.4,131,Beverage,Vadodara/Baroda +29 more,1k-5k Employees
5488,SMC Power Generation,3.8,131,Iron & Steel,New Delhi +10 more,501-1k Employees
5489,The Millennium School,3.9,131,Education & Training,Gurgaon/Gurugram +26 more,11-50 Employees
5490,Tata Memorial Hospital,4.3,131,Healthcare,Mumbai +5 more,1k-5k Employees
5491,Taal Tech India,3.8,131,IT Services & Consulting,Bangalore/Bengaluru +8 more,501-1k Employees
5492,Intelux Electronics,3.9,131,Electronics Manufacturing,Pune +12 more,201-500 Employees
5493,Amco Batteries,4.2,131,Auto Components,Chennai +25 more,201-500 Employees
5494,Peninsula Land,3.8,131,Real Estate,Mumbai +7 more,501-1k Employees
5495,Ummeed Housing Finance,4.2,131,Financial Services,Gurgaon +33 more,201-500 Employees
5496,Smiiel - A Unit Of Motherson Sumi System,3.6,131,Semiconductors,Noida +5 more,51-200 Employees
5497,Adani Electricity,3.8,131,Power,Mumbai +5 more,1k-5k Employees
5498,Dream Plast India,3.1,131,Industrial Machinery,Pune +4 more,201-500 Employees
5499,Zcl Chemicals,3.4,131,Pharma,Mumbai +3 more,51-200 Employees
5500,Celio Future Fashion,4.5,131,Retail,Saint Quen +34 more,501-1k Employees
5501,Intelux Electronics,3.9,131,Electronics Manufacturing,Pune +12 more,201-500 Employees
5502,Amco Batteries,4.2,131,Auto Components,Chennai +25 more,201-500 Employees
5503,Ujala Cygnus,4.1,131,Healthcare,New Delhi +24 more,501-1k Employees
